county,claims_weighted_total
DAVIDSON,286243.886052
KNOX,240774.659772
SHELBY,232806.994713
HAMILTON,199611.129194
SULLIVAN,113411.969244
WASHINGTON,97193.116452
SUMNER,73487.970043
MADISON,68810.190464
RUTHERFORD,65399.133149
BRADLEY,48070.302091
PUTNAM,45429.521931
MONTGOMERY,45217.29177
HAMBLEN,44435.371568999995
MAURY,44353.750653999996
COFFEE,40258.712064
WILLIAMSON,39145.234616
WILSON,37620.717475
ANDERSON,34529.558475
GREENE,31797.403718
BLOUNT,28652.491446
JEFFERSON,27199.772095
SCOTT,26099.297559
ROANE,24691.228533
CUMBERLAND,24667.798196
MC MINN,24295.420859
HENRY,22517.082491
SEVIER,22274.696271
DICKSON,21828.281820999997
CLAIBORNE,20623.739855
DYER,20488.977246
OBION,19827.595785999998
HAWKINS,19156.780964999998
ROBERTSON,19004.326489
CAMPBELL,18747.474175
CARROLL,16951.231909000002
MONROE,16848.622925
LAWRENCE,16663.944951
FRANKLIN,16408.447535
WEAKLEY,16248.480507
CARTER,16122.922243
GIBSON,15000.739583
WARREN,14913.688100000001
RHEA,14145.555196
TIPTON,14100.2753
HARDIN,13130.254286
FENTRESS,12832.299732
COCKE,12193.624867999999
MC NAIRY,11286.762725
LOUDON,11129.752736
BENTON,10769.203211
CHESTER,9384.852203999999
FAYETTE,9127.402675
MARION,8790.807233
BEDFORD,8399.666501
SMITH,8363.593263
CHEATHAM,8067.987536
MORGAN,7882.3107390000005
HARDEMAN,7864.705146
DE KALB,7765.29814
MARSHALL,7625.815536
OVERTON,7572.706517
GILES,7528.211403
WAYNE,6831.7784790000005
CLAY,6625.936197000001
JOHNSON,6279.898768
LINCOLN,5917.317072
UNICOI,5835.576806
LAUDERDALE,5643.048567
GRUNDY,5521.395619
WHITE,4991.410051999999
HICKMAN,4887.863923999999
HENDERSON,4827.81809
HAYWOOD,4715.261184
BLEDSOE,3938.2702670000003
MACON,3905.699474
UNION,3749.418086
GRAINGER,3657.200594
CROCKETT,3405.544989
JACKSON,3360.0095220000003
HUMPHREYS,3266.88364
POLK,3185.35516
LEWIS,3172.091745
TROUSDALE,3072.266885
CANNON,3027.1976290000002
PERRY,2731.426732
DECATUR,2241.42845
MOORE,2066.531268
PICKETT,1925.1252980000002
HOUSTON,1818.651714
SEQUATCHIE,1652.568786
VAN BUREN,1556.3131939999998
STEWART,1411.356117
HANCOCK,1283.282588
MEIGS,1196.279516
LAKE,213.80294500000002
